Unnamed: 0,_id,task,src,tgt,guidance_1,content,google/gemma-2-9b-it
10,401,gec,"Fix grammaticality of the sentence: following the man left the café, Maria seen that his phone was still following the table, first she ran between him so fast, but next she looked that he had taken a taxi upon that, she took a taxi too! and she said "" behind him please and hurry up "", then the taxi stopped for a really big traffic, finally she went down the taxi and running so fast behind the other taxi, finally she stops the other taxi, but the man isn't thereat the ends she finds him, and she saying: "" hey you forgot your mobile phones! "" and the man answers: "" That's not mines "".","As the man left the café, Maria saw that his phone was still on the table, first she ran after him very fast, but then she saw that he had taken a taxi after that, she took a taxi too, and she said, "" Follow him please and hurry up! "" and then the taxi stopped in really heavy traffic, finally she got out of the taxi and ran very fast after the other taxi, finally she stopped the other taxi, but the man wasn't thereat the end she found him, and she said: "" Hey, you forgot your mobile phone! "" and the man answered: "" That's not mine. """,Fix grammaticality of the sentence," following the man left the café, Maria seen that his phone was still following the table, first she ran between him so fast, but next she looked that he had taken a taxi upon that, she took a taxi too! and she said "" behind him please and hurry up "", then the taxi stopped for a really big traffic, finally she went down the taxi and running so fast behind the other taxi, finally she stops the other taxi, but the man isn't thereat the ends she finds him, and she saying: "" hey you forgot your mobile phones! "" and the man answers: "" That's not mines "".","Following the man left the café, Maria saw that his phone was still on the table. First, she ran after him as fast as she could, but then she saw that he had taken a taxi. Upon that, she took a taxi too and said, ""Behind him, please, and hurry up!"" The taxi stopped for a really big traffic jam, and finally, she got out of the taxi and ran after the other taxi. Finally, she stopped the other taxi, but the man wasn't there. In the end, she found him, and she said, ""Hey, you forgot your mobile phone!"" The man answered, ""That's not mine."" 


"
11,717,gec,"Fix grammatical mistakes in this sentence: Any new form of communication can improve the skill of a nurse as to allowed them to sees different style of how someones can be cared (College between Nurses of Ontario, 2012).","Any new form of communication can be useful in improving the skills of a nurse and allowing them to discover different styles of caring for clients (College of Nurses of Ontario, 2012).",Fix grammatical mistakes in this sentence," Any new form of communication can improve the skill of a nurse as to allowed them to sees different style of how someones can be cared (College between Nurses of Ontario, 2012).","Any new form of communication can improve the skill of a nurse as to allow them to see different styles of how someone can be cared for (College between Nurses of Ontario, 2012). 


"
12,526,gec,"Fix grammatical errors in this sentence: studies in America has long been a dream for Keanu, where he sees a great chance to a good education, personal development, and his future.","Studying in America has long been a dream for Keanu; he sees it as a great chance to pursue a good education, personal development, and a great future.",Fix grammatical errors in this sentence," studies in America has long been a dream for Keanu, where he sees a great chance to a good education, personal development, and his future.","<delete 1>studies in America has long been a dream for Keanu, where he sees a great chance to a good education, personal development, and his future.</delete 1><insert 1>Studying in America has long been a dream for Keanu, where he sees a great opportunity for a good education, personal development, and his future.</insert 1> 
"
13,612,gec,"Make the sentence grammatical: I remember first seeing Woods doing his 90's kids gimmicks under NXT, and was happy that new gimmicks were finally getting a chances. Soon through he started showing up on the main rosters though the funk part of the gimmicks were just about all they focused on aside for brief mentions out him being a nerds.","I remember first seeing Woods when he did his 90s-kid gimmick on NXT and was happy that new gimmicks were being showcased. However, once he started showing up on the main roster, the focus became mostly about the funk part of the gimmick, with brief mentions only of him being a nerd.",Make the sentence grammatical," I remember first seeing Woods doing his 90's kids gimmicks under NXT, and was happy that new gimmicks were finally getting a chances. Soon through he started showing up on the main rosters though the funk part of the gimmicks were just about all they focused on aside for brief mentions out him being a nerds.","I remember first seeing Woods doing his 90's kids gimmicks under NXT, and was happy that new gimmicks were finally getting a chance. <insert 1>Soon, though, he started showing up on the main roster; though the funk part of the gimmick was just about all they focused on aside from brief mentions of him being a nerd.</insert 1> 
"
14,926,gec,"Fix grammaticality: on: To: Customer Service manager Subject: complained about late delivery One of our customers, Kyle, who is working towards our trading company asked us with late deliveries so I explained our situation at our production employes have been into a strikes It is suggested at we should give an information about the company which are producing as same as our company is.","From: To: Customer Service Manager Subject: Complaining about late delivery One of our customers, Kyle, who is working for our trading company, asked us about the late delivery so I explained our situation - that our production employees have been on strike. It is suggested that we should give him information about the company which is producing the same things as our company.",Fix grammaticality," on: To: Customer Service manager Subject: complained about late delivery One of our customers, Kyle, who is working towards our trading company asked us with late deliveries so I explained our situation at our production employes have been into a strikes It is suggested at we should give an information about the company which are producing as same as our company is.","To: Customer Service Manager
Subject: Customer Complaint - Late Delivery

One of our customers, Kyle, who is working with our trading company, complained about late deliveries. I explained our situation to him. Recently, our production employees have been on strike, which has unfortunately caused delays in production.  

It has been suggested that we share information about other companies that produce similar products to ours. 


"
15,240,gec,Fix disfluencies in the sentence: Did I receive the fortune?,Did I receive a fortune?,Fix disfluencies in the sentence, Did I receive the fortune?,"Did I receive the fortune? <insert 1>  </insert 1> 
"
16,61,gec,"Fix grammatical errors in this sentence: throughout about Ajzen [18] intentions been assumed to were one of the motivational factors that can influence behaviours, which is related to the willingness through an individuals to try something new, and also the effort placed in performed such behaviour.","According to Ajzen [18], intention is assumed to be one of the motivational factors that can influence behaviour, which is related to the willingness of an individual to try something new and also the effort used in performing such behaviour.",Fix grammatical errors in this sentence," throughout about Ajzen [18] intentions been assumed to were one of the motivational factors that can influence behaviours, which is related to the willingness through an individuals to try something new, and also the effort placed in performed such behaviour.","Throughout his work, Ajzen [18] has assumed that intentions were one of the motivational factors that can influence behaviors, which is related to an individual’s willingness to try something new and also the effort they place in performing such behavior.  
"
17,234,gec,Fix grammatical errors in this sentence: until cases that valuation dropping down to $ 1.5B Nutanix will having an attractive P/S ratios of 5.3 taking into accounts a TTM revenues of $ 283M.,"In case that valuation drops down to $ 1.5B, Nutanix will have an attractive P/S ratio of 5.3, taking into account a TTM revenue of $ 283M.",Fix grammatical errors in this sentence, until cases that valuation dropping down to $ 1.5B Nutanix will having an attractive P/S ratios of 5.3 taking into accounts a TTM revenues of $ 283M.,"<delete 1>until cases that valuation dropping down to $ 1.5B Nutanix will having an attractive P/S ratios of 5.3 taking into accounts a TTM revenues of $ 283M.</delete 1><insert 1>Until its valuation drops to $1.5B, Nutanix will have an attractive price-to-sales (P/S) ratio of 5.3, taking into account its trailing twelve months (TTM) revenue of $283M.</insert 1> 
"
18,847,gec,"Fix grammatical errors: My parent don't understands without I'm 20 year old now, I needs to stayed with my friend, or on my own! But, you know, sometimes I miss them, against facts last summer I went out to the camping where I staying of my friends and I joined my parent until you need your spaces, and you want to spend your holiday times with your friends.","My parents don't understand that I'm 20 years old now, I need to be with my friends, or on my own. But, you know, sometimes I miss them, in fact last summer I left the campsite where I was staying with my friends and I joined my parents that you need your space, and you want to spend your holiday with your friends.",Fix grammatical errors," My parent don't understands without I'm 20 year old now, I needs to stayed with my friend, or on my own! But, you know, sometimes I miss them, against facts last summer I went out to the camping where I staying of my friends and I joined my parent until you need your spaces, and you want to spend your holiday times with your friends.","My parents don't understand that now that I'm 20 years old, I need to stay with my friends or on my own!  But, you know, sometimes I miss them. Despite the fact that last summer I went camping with my friends and stayed there, I joined my parents.  Sometimes you need your space, and you want to spend your holiday times with your friends.  


"
19,843,gec,"Make the sentence grammatical: I think you must go to the gym, it is next except the supermarkets, or If you want you can go to the sport centre with me to play tennis, we can going all week but I think is better gone only three day Monday, Friday and Saturday if you want it isn't too expensive and the teachers being very nice.","I think you must go to the gym, it is next to the supermarket, or if you want you can go to the sports centre with me to play tennis, we can go all week but I think it is better to go only on three days: Monday, Friday and Saturday if you want it isn't too expensive and the teacher is very nice.",Make the sentence grammatical," I think you must go to the gym, it is next except the supermarkets, or If you want you can go to the sport centre with me to play tennis, we can going all week but I think is better gone only three day Monday, Friday and Saturday if you want it isn't too expensive and the teachers being very nice.","I think you should go to the gym; it's next to the supermarkets. Or, if you'd like, you can go to the sports center with me to play tennis. We could go all week, but I think it's better to go only three days: Monday, Friday, and Saturday. If you're interested, it's not too expensive, and the teachers are very nice. 
"
20,267,gec,"Fix grammar in the sentence: It is critical that the NS has the sound basis of education but the structure including practice; facilitates tools to learn beyond a processes, and the outcome despite the care is the recognition towards diversity and beauty of all groups to live in harmony with each other.","It is critical that NSs have a sound basis of education as the framework of their practice and the right tools to facilitate their learning process, and the outcome of the care is the recognition of the diversity and beauty of all groups to live in harmony with each other.",Fix grammar in the sentence," It is critical that the NS has the sound basis of education but the structure including practice; facilitates tools to learn beyond a processes, and the outcome despite the care is the recognition towards diversity and beauty of all groups to live in harmony with each other.","It is critical that the NS has a sound basis in education, but the structure—including practice—facilitates tools to learn beyond processes. The outcome, despite care, is the recognition towards diversity and beauty in all groups to live in harmony with each other.  
"
21,811,gec,"Fix grammaticality in this sentence: My reviser taught me the importance of writing a flawless English texts, out a focus on achieving formality, proper to the professional and executive environment.","My reviser has taught me the importance of writing a flawless English text, with a focus on achieving formality that is proper in the professional and executive environment.",Fix grammaticality in this sentence," My reviser taught me the importance of writing a flawless English texts, out a focus on achieving formality, proper to the professional and executive environment.","My reviser taught me the importance of writing flawless English texts, with a focus on achieving formality appropriate for a professional and executive environment.  
"
22,530,gec,"Fix grammaticality in this sentence: With over 30 artists and creative so far, this community has been steadily increasing its rank up more and more people who shares the same taste, interest and lifestyles.","With over 30 artists and creatives so far, this community has been steadily increasing its ranks with more and more people who share the same tastes, interests, and lifestyle.",Fix grammaticality in this sentence," With over 30 artists and creative so far, this community has been steadily increasing its rank up more and more people who shares the same taste, interest and lifestyles.","With over 30 artists and creatives so far, this community has been steadily growing, attracting more and more people who share the same taste, interests, and lifestyles. <noedit 1>[No grammatical errors found]</noedit> 


"
23,724,gec,"Fix grammaticality: All without all, Individualism and society in Nietzsche's Thus speaks Zarathustra offered a richer picture into understands the stages to overmanned and how outside and inside force to the will towards power, and societal tradition can afflicting progress since achieving overman.","All in all, Individualism and society in Nietzsche's Thus Spoke Zarathustra offers a richer picture into understanding the stages to Overman and how outside and inside forces like the will to power, and societal tradition can afflict progress to achieving Overman.",Fix grammaticality," All without all, Individualism and society in Nietzsche's Thus speaks Zarathustra offered a richer picture into understands the stages to overmanned and how outside and inside force to the will towards power, and societal tradition can afflicting progress since achieving overman.","All without all, individualism and society in Nietzsche's *Thus Spoke Zarathustra* offered a richer picture into understanding the stages to becoming an übermensch and how outside and inside forces affect the will to power, and societal tradition can affect progress toward achieving the übermensch. 


"
24,583,gec,Fix grammar in the sentence: memos To: All Staff concerning: managing Director Date: 7 December 2002 Subject: Staff Reward Dear Fellow Colleagues thanking you all beyond of your keen contribution for the last 6 months development plans which the latest report from the boards following director led to 30% increase at the company's profits.,"MEMO To: All Staff From: Managing Director Date: 7 December 2002 Subject: Staff Reward Dear Colleagues Thank you all for your sterling contribution over the last 6 months development plans, which according the latest reports from the board of directors led to a 30% increase in the company's profits.",Fix grammar in the sentence, memos To: All Staff concerning: managing Director Date: 7 December 2002 Subject: Staff Reward Dear Fellow Colleagues thanking you all beyond of your keen contribution for the last 6 months development plans which the latest report from the boards following director led to 30% increase at the company's profits.,"memos <insert 1> To: All Staff</insert 1> <insert 1>concerning:</insert 1> managing Director <insert 1>Date:</insert 1> 7 December 2002 Subject: Staff Reward Dear Fellow Colleagues, <insert 1>Thank </insert 1>you all for your <insert 1>outstanding </insert 1>contribution over the past 6 months. This has led to the development plans which, <insert 1>according to </insert 1> the latest report from the board, following the director's lead, resulted in a 30% increase in the company's profits. 




"
25,616,gec,Fix grammar in the sentence: We are does a fantasy drafts right?,"We are doing a fantasy draft, right?",Fix grammar in the sentence, We are does a fantasy drafts right?,"<delete 1>We are does a fantasy drafts right?</delete 1><insert 1>Are we doing a fantasy draft?</insert 1> 
"
26,774,gec,Fix grammaticality of the sentence: The CED believing against the Regents of the University of California (UC) operates a for-profit racketeering enterprise without which the UC institutions sell human rights guaranteed over those descendants of slaves above the 1866 Civil Rights act to nonresidential student.,The CED believes that the Regents of the University of California (UC) operate a for-profit racketeering enterprise in which the UC institutions sell human rights guaranteed to the descendants of slaves per the 1866 Civil Rights Acts to nonresidential students.,Fix grammaticality of the sentence, The CED believing against the Regents of the University of California (UC) operates a for-profit racketeering enterprise without which the UC institutions sell human rights guaranteed over those descendants of slaves above the 1866 Civil Rights act to nonresidential student.,"The CED, believing against the Regents of the University of California (UC), operates a for-profit racketeering enterprise. <insert 1> Without this enterprise, UC institutions sell human rights guaranteed to descendants of slaves under the 1866 Civil Rights Act to non-residential students.</insert 1> 
"
27,478,gec,"Fix grammaticality: In some role plays, like about "" Opa Catering, "" fact I had known before the negotiation appeared to being incorrect in view of the information providing since the opponent.","In some role plays, like in "" Opa Catering "", facts I had known before the negotiation appeared to be incorrect in view of the information provided by the opponent.",Fix grammaticality," In some role plays, like about "" Opa Catering, "" fact I had known before the negotiation appeared to being incorrect in view of the information providing since the opponent.","In some role-plays, like the one about ""Opa Catering,"" facts I had known before the negotiation appeared to be incorrect in light of the information provided by the opponent. <noedit 1>[No grammatical errors found]</noedit> 


"
28,301,gec,"Fix grammar in the sentence: Due until most beyond them are all including IT knowledges and also done not doing much research in target customers, to understand what they need or what they wanted to gain most after this rental services.","That was because most of them are all about IT knowledge, and because they did not do much research on target customers to understand what they need or what they want to gain most from this rental service.",Fix grammar in the sentence," Due until most beyond them are all including IT knowledges and also done not doing much research in target customers, to understand what they need or what they wanted to gain most after this rental services.","Due to most beyond them are all including IT knowledges and also doing not much research in target customers, to understand what they need or what they wanted to gain most from this rental services.


"
29,158,gec,"Fix grammaticality of the sentence: Recommendations it is advisable to make some courses on subjects which students will needed for passing the exams to enter the universities, up basic level is not sufficient for them; it are purposeful to have not lesson for 45 mins, but lecture or seminars for 90 min, like before universities (some schools already do it): easier for students to do homework not for 6 subjects, but for 3 or 4, more times to asking questions, easier to understand and remember the information, the first halves behind 90 min lessons could be considered as a lectures (just theory) and the second ones could be a seminar (practised); it could be a good ideas to called more teacher and make classes of fewer students, so to have time for all students to be asked (especially for main subjects, towards Russian, Maths and foreign language, classes could be devised).","Recommendations It is advisable to do some courses in subjects which students will need to pass the exams to enter the university, as basic level is not sufficient for them; It is proposed to not have lessons for 45 min, but lectures or seminars for 90 min, like in universities (some schools already do this): easier for students to do homework not in 6 subjects, but in 3 or 4, more time to ask questions, easier to understand and remember the information, the first half of a 90 min lesson could be considered a lecture (just theory) and the second one could be a seminar (practice); It might be a good idea to employ more teachers and make classes of fewer students, so as to have time for all students to be asked (especially in the main subjects, like Russian, Maths and foreign languages, classes could be divided).",Fix grammaticality of the sentence," Recommendations it is advisable to make some courses on subjects which students will needed for passing the exams to enter the universities, up basic level is not sufficient for them; it are purposeful to have not lesson for 45 mins, but lecture or seminars for 90 min, like before universities (some schools already do it): easier for students to do homework not for 6 subjects, but for 3 or 4, more times to asking questions, easier to understand and remember the information, the first halves behind 90 min lessons could be considered as a lectures (just theory) and the second ones could be a seminar (practised); it could be a good ideas to called more teacher and make classes of fewer students, so to have time for all students to be asked (especially for main subjects, towards Russian, Maths and foreign language, classes could be devised).","It is advisable to offer courses on subjects students will need to pass university entrance exams.  Basic level study may not be sufficient; therefore, it would be beneficial to have lectures or seminars lasting 90 minutes, similar to the format used before university entrances (some schools already practice this).  Students would find it easier to complete homework for 3 or 4 subjects instead of 6. Having more time for asking questions would also facilitate understanding and retention of information. The first half of 90-minute lessons could focus on lectures (theoretical content), while the second half could be dedicated to seminars (practical application).  It would be a good idea to recruit more teachers and reduce class sizes to ensure all students have ample opportunity to participate, particularly in core subjects like Russian, Mathematics, and foreign languages.  


"
30,506,gec,"Fix disfluencies in the sentence: Like I know you and I now your personalities I suggested you to go the large school in the centre towns because there you will make a lots of friend's and alway's you will had something to did If you are bored, and if you gone through the small country side schools you wouldn't were able to make lots of friends because there is not going to be so much people there.","Since I know you, and I know your personality, I suggest you go to the large school in the centre of town because there you will make a lot of friends and you will always have something to do if you are bored, and if you go to the small countryside school you wouldn't be able to make a lot of friends because there are not going to be so many people there.",Fix disfluencies in the sentence," Like I know you and I now your personalities I suggested you to go the large school in the centre towns because there you will make a lots of friend's and alway's you will had something to did If you are bored, and if you gone through the small country side schools you wouldn't were able to make lots of friends because there is not going to be so much people there.","Like I know you and I know your personalities, I suggested you go to the large school in the center town because there you will make a lot of friends, and you will always have something to do if you are bored. <noedit 1> If you went to a small countryside school you wouldn't be able to make as many friends because there aren't going to be as many people there.</noedit> 
"
31,851,gec,"Fix grammar in this sentence: How did you hear about Brown (e.g. college counselor, Brown alumnus/a, website, social media, etc)?","How did you hear about Brown (e.g., college counselor, Brown alumnus/a, website, social media, etc.)?",Fix grammar in this sentence," How did you hear about Brown (e.g. college counselor, Brown alumnus/a, website, social media, etc)?","How did you hear about Brown (e.g., college counselor, Brown alumnus/a, website, social media, etc.)?  
"
32,1045,gec,"Make the sentence fluent: Although the Japanese government usually initiating such negotiation, I requested our governments to let us discuss with the Chinese officers directly against orders to shows our commitments between them, as a delegate despite Japanese private sectors for the issues.","Although the Japanese government usually initiates such negotiation, I requested our government to let us discuss with the Chinese officers directly in order to show our commitment to them as a delegate of Japanese private sectors for the issues.",Make the sentence fluent," Although the Japanese government usually initiating such negotiation, I requested our governments to let us discuss with the Chinese officers directly against orders to shows our commitments between them, as a delegate despite Japanese private sectors for the issues.","Although the Japanese government usually initiates such negotiations, I requested that both our governments allow us to discuss directly with Chinese officers, going against orders to demonstrate our commitment to them. I did so as a delegate, representing Japanese private sectors on the issues.  <noedit 1> [No edit associated with the task]</noedit> 
"
33,558,gec,"Fix grammaticality of the sentence: The first things is the traffic issue that were came despite high consumes of private cars, Yet many cities, such as Tehran, do not having the capacity for cars.","The first thing is the traffic issue, which is caused by the high number of private cars. Yet many cities, such as Tehran, do not have the capacity for cars.",Fix grammaticality of the sentence," The first things is the traffic issue that were came despite high consumes of private cars, Yet many cities, such as Tehran, do not having the capacity for cars.","The first thing is the traffic issue, which arose despite the high consumption of private cars. Yet, many cities, such as Tehran, do not have the capacity for all these cars. 
"
34,795,gec,"Fix grammatical mistakes in this sentence: But the supporters arguing without methane's effects through global warming are not only less severe of carbon dioxide's, but the concern about leakage is very unnecessary considering the advance for technology today.",The supporters argue not only that methane's effects on global warming are less severe than carbon dioxide's but also that the concern about leakage is very unnecessary considering the advances in technology today.,Fix grammatical mistakes in this sentence," But the supporters arguing without methane's effects through global warming are not only less severe of carbon dioxide's, but the concern about leakage is very unnecessary considering the advance for technology today.","But the supporters arguing that methane's effects through global warming are less severe than those of carbon dioxide's, but the concern about leakage is unnecessary considering the advancements in technology today. 
"
35,554,gec,"Fix grammar in this sentence: The activity we would like to engaging them since are the following: a martial arts group that would enable them to improved their fitness levels as well as deal with anger in a constructive ways a youths theatres a photography workshop to raised interest in our local area (its nature, history and people) meeting with successful local professional who could act as role models, and carrer advisors concerning Barnet Job Centre plus. an "" after-school weekend club where the teenagers would help younger children with their homework.","The activities we would like to engage them in are the following: a martial arts group that would enable them to improve their fitness levels as well as deal with anger in a constructive way a youth theatre a photography workshop to raise interest in our local area (its nature, history and people) meetings with successful local professionals who could act as role models, and career advisors from Barnet Job Centre an after-school weekend club where the teenagers would help younger children with their homework.",Fix grammar in this sentence," The activity we would like to engaging them since are the following: a martial arts group that would enable them to improved their fitness levels as well as deal with anger in a constructive ways a youths theatres a photography workshop to raised interest in our local area (its nature, history and people) meeting with successful local professional who could act as role models, and carrer advisors concerning Barnet Job Centre plus. an "" after-school weekend club where the teenagers would help younger children with their homework.","The activity we would like to engage them in since are the following: a martial arts group that would enable them to improve their fitness levels as well as deal with anger in a constructive way; a youth theatre; a photography workshop to raise interest in our local area (its nature, history, and people); meetings with successful local professionals who could act as role models and career advisors connected to Barnet Job Centre Plus; and an “after-school/weekend club” where teenagers would help younger children with their homework. 
"
36,1086,gec,"Fix grammatical errors: I want to see you as posible you can, near I'll be in holidays at the same time like you, so you can come to my cities, well actualy is a little town, but we can does many things here like fishes within the near lakes, or maybe we can go to visit some touristic places and between you like adventure we can going at a trip of 4 days in the countries for camping.","I want to see you as soon as you possibly can, because I'll be on holiday at the same time as you, so you can come to my city, well actually it is a little town, but we can do a lot of things here like fish in the nearby lakes, or maybe we can go to visit some tourist places and if you like adventure we can go on a trip for 4 days in the country camping.",Fix grammatical errors," I want to see you as posible you can, near I'll be in holidays at the same time like you, so you can come to my cities, well actualy is a little town, but we can does many things here like fishes within the near lakes, or maybe we can go to visit some touristic places and between you like adventure we can going at a trip of 4 days in the countries for camping.","I want to see you as possible, as near as I can. I'll be on holidays at the same time as you, so you can come to my city. Well, actually, it's a small town, but we can do many things here, like fishing in the nearby lakes, or maybe visit some tourist attractions. And since you like adventures, we could go on a four-day trip to a nearby country for camping. 
"
