,_id,task,src,tgt
19,792,gec,"Fix grammatical mistakes in this sentence: But there are a few step one should trying to follow in orders to making a difference in his lives, like trying to look for healtheir option as snack "" instead from crisp has some raw carrots or a pots of low fat yoghurts "", use the stairs instead to the escalator, if the tube station are close towards, walks home rather of took the bus.","But there are a few steps one should try to follow in order to make a difference in one's life, like trying to look for healthier options as snacks - instead of crisps have some raw carrots or a pot of low fat yoghurt, use the stairs instead of the escalators, if the tube station is close by, walk home rather than taking the bus."
20,433,gec,Fix grammar in the sentence: The curves depicted at Figure 58 to Figure 61 are useful in determining the slopes caused but to applied load and can also help to accessed the effect including slopes upon serviceability of the slab designs.,The curves depicted in Figure 58 to Figure 61 are useful in determining the slope caused by the applied load and can also help to assess the effect of the slope on the serviceability of the slab design.
21,849,gec,"Fix grammaticality: It also reveals the way Manny's mother sees men and how men have treated her, means, with this usage of dialogue we understand out Manny's mothers has been beaten and has been disillusioned with men in her past.","It also reveals the way Manny's mother sees men and how men have treated her, which means that with this usage of dialogue, we understand that Manny's mother has been beaten and has been disillusioned with men in her past."
22,611,gec,Fix grammatical errors: This requirement seemed to be consistent with the anti-religion feelings among Neo-Confucian official.,"This requirement seemed to be consistent with the anti-religious feeling among neo-Confucian officials,"
23,433,gec,Fix grammar in the sentence: The curves depicted at Figure 58 to Figure 61 are useful in determining the slopes caused but to applied load and can also help to accessed the effect including slopes upon serviceability of the slab designs.,The curves depicted in Figure 58 to Figure 61 are useful in determining the slope caused by the applied load and can also help to assess the effect of the slope on the serviceability of the slab design.
24,978,gec,"Make the sentence grammatical: following we discussed last Thursday, I wants to clarifying more on the implementations of single download locations for latest release software.","As we discussed last Thursday, I want to clarify more on the implementation of the single download location for the latest release software."
25,1010,gec,"Fix grammatical errors in this sentence: Other side after you can goes been my city, Qaeguipe, because it has, for me, the best church between all South America, in the countrysides you can visit Colrea's Canon, , it been the largest canon in the wold it really ameizing and, if you liking the animal, you can see the condor, the biggest birth among the worlds If you like the beach you can gone to 7 UNKNOWN UNKNOWN beautifull.","The other place that you can go to is my city, Qaeguipe, because it has, for me, the best church in all of South America, in the countryside you can visit Colrea's Canon, it is the largest canon in the world, it is really amazing and, if you like animals, you can see the condor, the biggest bird in the world. If you like beaches, you can go to 7 UNKNOWN UNKNOWN beautiful."
26,345,gec,Fix grammaticality: The people in the community had to addresses their leader to support the community by implementing a policies to stop used anything that being polluted the earth.,The people in the communities have to address their leaders to support the communities by implementing a policy to stop using anything that is polluting the earth.
27,524,gec,Make the sentence fluent: 12 April - Britain declared 200 mile exclusion zone around the Falklands,12 April - Britain declared a 200-mile exclusion zone around the Falkland Islands
28,994,gec,"Fix grammatical mistakes in this sentence: The United States has long terms interests in Columbia that include; promoting security, stability, prosperity and supporting the countries's policies.","The United States has long-term interests in Colombia that include promoting security, stability, and prosperity, and supporting the country's policies."
29,55,gec,"Fix grammatical mistakes in this sentence: The other groups of mirna were lowly expressed from both immature and in cells at early stage of differentiation but significantly increased plus days 14 and remains expressed at high level at day 21 of differentiation (Fig. 7 F, G).","The other groups of miRNAs were lowly expressed in both immature cells and cells at an early stage of differentiation but significantly increased on day 14 and remained expressed at a high level on day 21 of differentiation (Fig. 7F, G)."
30,806,gec,"Fix grammatical errors: I like both ideas that you writing but I preferd going to a large schools with the centers is better because you will meet new people and make more friends than in the countryside and when you finish clases you can go somewhere to the center like the shopping or a cyber that are my ideas, but if you liked the country sides you should went there you can gone including your friend's house after school or go horse riding because I don't think behind there were a shopping in the countryside.","I like both ideas that you wrote about but I would prefer to go to a large school in the center. It is better because you will meet new people and make more friends than in the countryside and when you finish classes you can go somewhere in the center, like the shopping or a cybercafe that are my ideas, but if you like the countryside you should go there you can go to your friend's house after school or go horse riding because I don't think that there is a shopping in the countryside."
31,22,gec,"Fix grammaticality in this sentence: Dear sirs I are writing following you after response to your advertisement across my favourite magazine, to let you know how I been intersted in this great adventures you are setting up and that I would liking very much to be one by the successuful student you were looking for! . Firstly, I are convinced around all my skill gained within my short but busy student life will were real assets for your team: not only have I an important knowlegde except invironmental problem that I acquired during my studis (as I am holders of an environmental master), but I had already the opportunities to do some temporary activities last summer for the famous Environmental French Agency, where I was in charge of a studies but wild lives against Antarctic! . However, I has never had yet the opportunity to gone on site to did some practical experimentations.","Dear Sir I'm writing to you in response to your advertisement in my favourite magazine, to let you know how interested I am in this great adventure you are setting up and that I would like very much to be one of the successful students you are looking for! Firstly, I am convinced that all my skills gained in my short but busy student life will be real assets for your team: not only do I have important knowledge about environmental problems that I acquired during my studies (as I am the holder of an environmental Master's), but I have already had the opportunity to do some temporary activities last summer for the famous French Environmental Agency, where I was in charge of a study of wildlife in the Antarctic! However, I have never yet had the opportunity to go on site to do some practical experimentation."
32,469,gec,"Fix grammar in this sentence: I are so happy to receives your letters, you asks me about your new movings, I suggest you thinks following what is the best place to move, because I think both been good idea, small school around the countryside is good if you like calm place, if you like be in the nature, meet some people, but in the other hands you having a large schools in the centre of the town, if you like big city, think about how many place you can see, like museum, theaters, concerts you can go, imagine how many people you can meet at school!","I was so happy to receive your letter, you asked me about your new move, and I suggest you think about which is the best place to move to, because I think both are good ideas. A small school in the countryside is good if you like calm places, if you like being in nature, meeting a few people, but on the other hand you have a large school in the centre of the town, if you like big cities, think about how many places you can visit, like museums and theaters, and the concerts you can go to, imagine how many people you could meet at school!"
33,368,gec,"Fix grammatical mistakes in this sentence: Dear Mr. Davis, plus my opinion the station hotels is useful for business meetings and business facility are better than in others hotel - However clients have always reason so maybe you could compares the same services plus Station Hotel and in other hotels I would prefer a hotel tats downtown, under particular a quiet hotel with a beautiful location I'll accept the companies car until the airport downoff I'll be able to come to our meeting on time.","Dear Mr. Davis, In my opinion the Station Hotel is useful for business meetings and its business facilities are better than in other hotels. However the customer is always right so maybe you could compare the facilities of the Station Hotel and those of another hotel. I would prefer a hotel downtown, in particular a quiet hotel in a beautiful location. I'd like a company car from the airport so I'll be able to come to our meeting on time."
34,729,gec,"Make the sentence grammatical: Full times activities of 16-17 years olds United Kingdom (1989-1999) The general surge has been towards a two fold down growths in full time activity over the decade 1989-99; among evidenced by 95% activity rates, a decades earlier compared to 90% at present, and this down ward trend has been gradual and constant under shown by midinterval (1994) value of 8% nonactivities across comparing the main activities, the late teenager partake in nowadays, it been very suggestive that their engagement in full time educational activities had sore high - of a 21% rises over the period without consideration.","Full-time activities of 16 - to 17-year-olds the United Kingdom (1989-1999) The general tendency has been towards a twofold downward movement in full-time activity over the decade 1989-99 as evidenced by 95% activity rates a decade earlier compared to 90% at present, and this downward trend has been gradual and constant as shown by mid-interval (1994) values of 8% inactivity. While comparing the main activities the older teenagers partake in nowadays, it is very clear that their engagement in full-time educational activities has soared high - with a 21% rise over the period under consideration."
35,198,gec,"Make the sentence grammatical: But the second half like Daoud's novel shows how little bearing that critiques has by Algeria's present, denied the reader the easy satisfaction of anticolonial justice.","The second half of Daoud's novel, however, shows how little bearing that critique has on Algeria's present, denying the reader the easy satisfaction of anticolonial justice."
36,36,gec,"Fix grammaticality in this sentence: There are many people who getting the spirit of competitions when, they work as a parts of an group activity, they feel to this healthy competition brought the best in there and also the amounts of time required to completed the task will reduce automatically towards one trying to finish earlier than other group mates If the competitions is healthy it leads to an healthy outcome, whereas, an unhealthy competition in the groups can lead to destructive out comes.","There are many people who get the spirit of competition when they work as a part of a group, they feel that this healthy competition brings out the best in them and also the amount of time required to complete the task will reduce automatically as one tries to finish earlier than other group members. If the competition is healthy it leads to a healthy outcome, whereas unhealthy competition in the group can lead to destructive outcomes."
37,109,gec,Fix grammaticality: Delicious.,It's delicious.
38,193,gec,"Make the sentence grammatical: "" The lost suitcase "" One days Mr. Sanchez been watching a soccer match when suddenly somebody knocked the door, so Mr. Sanchez getting up because he was waiting her friends, when he opened the door he only discovered a little suitcase, he took it and came in his houses, but he thoug that the little suitcase was a jokes from his friends so he tried to opens it but he can't did it and he noticed that along the suitcases listened a wear noise, he came worried because the noise was like a wach so he went to the garages to his tools, but the noises grow up and grow up surely he thoug that the noise was a bomb, but when he can opened he discovered of only was a wach wich his friend bought for him.",""" The lost suitcase "" One day Mr. Sanchez was watching a soccer match when suddenly somebody knocked on the door, so Mr. Sanchez got up because he was waiting for his friend, but when he opened the door, he only discovered a little suitcase, he took it and went back in his house, but he thought that the little suitcase was a joke from his friend, so he tried to open it but he couldn't do it and he noticed that in the suitcase listened a wear noise, he became worried because the noise was like a watch, so he went to the garage to his tool kit, but the noise grew louder and louder and surely he thought that the noise was a bomb, but when he opened it he discovered that it was only a watch which his friend had bought for him."
39,917,gec,"Fix grammatical errors: The conclusion up this hypothesis was of the "" anticipatory, confrontation, adaptation, and release stages among public speaking states anxiety being .91, .87, .92, and .93, "" (Sawyer and Behnke, 2002. p, 115).","The conclusion for this hypothesis was that the "" anticipatory, confrontation, adaptation, and release stages of public speaking state anxiety was .91, .87, .92, and .93, "" (Sawyer and Behnke, 2002. p.115)."
40,843,gec,"Make the sentence grammatical: I think you must go to the gym, it is next except the supermarkets, or If you want you can go to the sport centre with me to play tennis, we can going all week but I think is better gone only three day Monday, Friday and Saturday if you want it isn't too expensive and the teachers being very nice.","I think you must go to the gym, it is next to the supermarket, or if you want you can go to the sports centre with me to play tennis, we can go all week but I think it is better to go only on three days: Monday, Friday and Saturday if you want it isn't too expensive and the teacher is very nice."
41,1018,gec,Fix grammatical errors in this sentence: The Aa Ma Sha Healing Centre is administered from accordance plus Heavenly Path Hong Kong Organization (HPHKO) Rules and Regulations.,The Aa Ma Sha Healing Centre is administered in accordance with Heavenly Path Hong Kong Organization (HPHKO) rules and regulations.
42,62,gec,Fix disfluencies in the sentence: It was focusing on letting them see that they like deaths girls must concentrate on trying to heal themselves before healing the family.,"It focused on letting them see that, in death, girls must concentrate on trying to heal themselves before healing the family."
43,5,gec,"Fix grammatical errors: This is why I totally agree like the following comments: "" My upbringings teaches me to been calm and easy-going - I really appreciate but now "". First of all, I agree with this person including I think that the ways someones has been brought having a great influence on his life.","This is why I totally agree with the following comment: "" My upbringing taught me to be calm and easy-going - I really appreciate that now. "" First of all, I agree with this person because I think that the way someone has been brought up has a great influence on his life."
44,23,gec,Fix grammar in the sentence: The fundamental reason are before they are a leak of accompanying.,The fundamental reason is the lack of company.
45,1033,gec,"Fix grammatical errors: Although the consumers may tend to trusts the content generated over other users rather than companies itself, problems across the uncertainty of reliability and credibility under the source may led to skepticisms among the video (Steyn, & et al. 2010).","Although consumers may tend to trust content generated by other users more than content generated by the companies themselves, uncertainty regarding the reliability and credibility of the source may lead to skepticism regarding the video (Steyn, & et al. 2010)."
46,443,gec,"Fix grammar in the sentence: You may contact me by phone or email, and I will be following up within the next two week between this positions.",You may contact me by phone or email. I will follow up with you within the next two weeks about this position.
47,469,gec,"Fix grammar in this sentence: I are so happy to receives your letters, you asks me about your new movings, I suggest you thinks following what is the best place to move, because I think both been good idea, small school around the countryside is good if you like calm place, if you like be in the nature, meet some people, but in the other hands you having a large schools in the centre of the town, if you like big city, think about how many place you can see, like museum, theaters, concerts you can go, imagine how many people you can meet at school!","I was so happy to receive your letter, you asked me about your new move, and I suggest you think about which is the best place to move to, because I think both are good ideas. A small school in the countryside is good if you like calm places, if you like being in nature, meeting a few people, but on the other hand you have a large school in the centre of the town, if you like big cities, think about how many places you can visit, like museums and theaters, and the concerts you can go to, imagine how many people you could meet at school!"
48,296,gec,"Fix grammaticality of the sentence: "" Car key pleases? """,""" Car keys, please? """
49,591,gec,"Fix grammar in the sentence: His lack of understood true love and his greediness for power and money make him change his views by other characters such including Biddy, Joe, and Magwitch before a harsh manner.","His lack of understanding true love and his greediness for power and money make him change his view toward other characters, such as Biddy, Joe, and Magwitch in a harsh manner."
50,158,gec,"Fix grammaticality of the sentence: Recommendations it is advisable to make some courses on subjects which students will needed for passing the exams to enter the universities, up basic level is not sufficient for them; it are purposeful to have not lesson for 45 mins, but lecture or seminars for 90 min, like before universities (some schools already do it): easier for students to do homework not for 6 subjects, but for 3 or 4, more times to asking questions, easier to understand and remember the information, the first halves behind 90 min lessons could be considered as a lectures (just theory) and the second ones could be a seminar (practised); it could be a good ideas to called more teacher and make classes of fewer students, so to have time for all students to be asked (especially for main subjects, towards Russian, Maths and foreign language, classes could be devised).","Recommendations It is advisable to do some courses in subjects which students will need to pass the exams to enter the university, as basic level is not sufficient for them; It is proposed to not have lessons for 45 min, but lectures or seminars for 90 min, like in universities (some schools already do this): easier for students to do homework not in 6 subjects, but in 3 or 4, more time to ask questions, easier to understand and remember the information, the first half of a 90 min lesson could be considered a lecture (just theory) and the second one could be a seminar (practice); It might be a good idea to employ more teachers and make classes of fewer students, so as to have time for all students to be asked (especially in the main subjects, like Russian, Maths and foreign languages, classes could be divided)."
51,524,gec,Make the sentence fluent: 12 April - Britain declared 200 mile exclusion zone around the Falklands,12 April - Britain declared a 200-mile exclusion zone around the Falkland Islands
52,345,gec,Fix grammaticality: The people in the community had to addresses their leader to support the community by implementing a policies to stop used anything that being polluted the earth.,The people in the communities have to address their leaders to support the communities by implementing a policy to stop using anything that is polluting the earth.
53,606,gec,"Make the sentence fluent: It is not my astonishing academic performance that made me the woman I am today, although, in 2010 during my high schools years except Minnesota, I getting awarded the "" Most Improved cheerleaders "" and received three stars at the Polk County solo singing competition.","It was not my astonishing academic performance that made me the woman I am today, although, in 2010, during my high school year in Minnesota, I was awarded "" Most Improved Cheerleader "" and received three stars at the Polk County solo singing competition."
54,817,gec,"Fix grammaticality of the sentence: It's just a personal disinterest, nothing against it on any other level - I've never been a big fan of vampires stories (I thinks twilights and the other stuff ruined it for me) and watching 8 seasons but Supernatural burning me out on most supernatural elements.","It's just a personal disinterest; I have nothing against it on any other level. I've never been a big fan of vampire stories (I think Twilight and the other stuff ruined it for me), and watching eight seasons of Supernatural burned me out on most supernatural elements."
55,195,gec,"Fix grammatical errors in this sentence: The graph showing the information from average number from child under family reveals that Spain had the Highest average number at 1980 with 2.2 children per family and the lowest before 2000 about 1.2 children per family, representing the highest decrease amongst the country shown concerning nearly 50% decrease in 20 years.","The graph showing information on the average number of children per family reveals that Spain had the highest average number in 1980 with 2.2 children per family and the lowest in 2000 with 1.2 children per family, representing the biggest decrease amongst the countries shown, with a decrease of nearly 50% in 20 years."
56,159,gec,"Fix grammaticality in this sentence: The main actors were Silvester Stallone and Sharon Stone, the most famous actors in the U.S.A., The stories started from New York but the UNKNOWN of the film, we going over the Irish pub in ROAD "" VITTORLO EVANVELE "" behind like new my friends Mark, the beer were excellent and I drank a lots near.","The main actors were Silvester Stallone and Sharon Stone, the most famous actors in the U.S.A.. The story started in New York but the UNKNOWN. After the film, we went to the Irish pub in ROAD "" VITTORLO EVANVELE "" because for new my friend Mark, the beer is excellent and I drank a lot of it."
57,267,gec,"Fix grammar in the sentence: It is critical that the NS has the sound basis of education but the structure including practice; facilitates tools to learn beyond a processes, and the outcome despite the care is the recognition towards diversity and beauty of all groups to live in harmony with each other.","It is critical that NSs have a sound basis of education as the framework of their practice and the right tools to facilitate their learning process, and the outcome of the care is the recognition of the diversity and beauty of all groups to live in harmony with each other."
58,280,gec,"Make the sentence grammatical: during the one hand I believe that the schools should were as funny as possible, so, expecially in secondary school, you should having the possibility to choose against some subject, plus addiction in the normal one, in order to studied something more enjoyable following the other hand, however, school has to provide students a reasonable preparation, so, according beyond me, it being necessary to has some obligatory subject (for example mathematics, the country's first language and a foreign languages etc. etc.)","On the one hand I believe that the school should be as much fun as possible, so, especially in secondary school, you should have the chance to choose from some subjects, in addition to the normal ones, in order to study something more enjoyable on the other hand, however, school has to provide students with a reasonable preparation, so, in my opinion, it's necessary to have some obligatory subjects (for example mathematics, the country's first language and a foreign language etc. etc.)"
59,762,gec,"Fix grammatical mistakes in this sentence: I wanting to known what happened, so I had a conversations between Eric about why he thought Uncle Bin trying to ignore him, and I found out that there were misunderstandings between them along towards culture difference and language barriers.","I wanted to know what happened, so I had a conversation with Eric about why he thought Uncle Bin tried to ignore him, and I found out that there were misunderstandings between them due to culture differences and language barriers."
60,787,gec,"Fix grammatical mistakes in this sentence: Over the next years, her tenure file passed the scrutiny of three committee, which read everything written by and following Abu El-Haj, and recommended her for tenure.","Over the next year, her tenure file passed the scrutiny of three committees, which read everything written by and about Abu El-Haj and recommended her for tenure."
61,369,gec,"Fix grammatical mistakes in this sentence: teacher come from a wide range of backgrounds and culture, and to join together in one endeavours can sometimes presents relationship difficulties, particularly if the manners in which the application of organisational culture is not in accords from their own approach.","Teachers come from a wide range of backgrounds and cultures, and joining together in one endeavour can sometimes present relationship difficulties. This is particularly true if the organisational culture of the school is not in accord with their own approach."
62,774,gec,Fix grammaticality of the sentence: The CED believing against the Regents of the University of California (UC) operates a for-profit racketeering enterprise without which the UC institutions sell human rights guaranteed over those descendants of slaves above the 1866 Civil Rights act to nonresidential student.,The CED believes that the Regents of the University of California (UC) operate a for-profit racketeering enterprise in which the UC institutions sell human rights guaranteed to the descendants of slaves per the 1866 Civil Rights Acts to nonresidential students.
63,412,gec,"Fix grammar: We provide bi-weekly seminars without crucial health issues affected our members, and we has saw huge improvement especially upon the areas of having an advance directive","We provide bi-weekly seminars on crucial health issues affecting our members, and we have seen a huge improvement, especially in the area of having an advanced directive."
64,568,gec,"Fix grammatical errors: are better to study in a room concerning less students because you learns more, there are not groups of students who think that being the better, all in the countrysides were together, and helping you when you had differents problems I hope that you like my decision.","It is better to study in a room with fewer students because you learn more, and there are not groups of students who think that they are the best. Everyone in the countryside is together, and helps you when you have different problems. I hope that you like my decision."
65,191,gec,"Fix grammar in the sentence: the main important point to mentioned were no over cultivation in Oceania It are clearly seen, despite the pie chart the main causes without land degradation is over-grazing by 35% without that is the deforestration which represt 30% and likewise been over-cultivation just below by 2% In conclusion, the lands degraded by over grazing, deforestation and over-cultivation nearly following the same percentage, but in these region these causes has different percentages.","The main important point to mention is is no overcultivation in Oceania. It is clearly seen from the pie chart that the main cause of land degradation is over-grazing at 35% after that comes deforestation, which amounts to 30%, and next is over-cultivation at just below 2%. In conclusion, the land degraded by overgrazing, deforestation and over-cultivation is nearly the same in terms of percentage, but in these regions these causes have different percentages."
66,227,gec,"Fix grammatical mistakes in this sentence: When asked, some people felt that constructing this kinds of facilities would affect the quietness throughout residential areas surrounds the downtown areas; this are true, however, it has to were taken into consideration the facts that it will not be a permanent condition, to constructions operations will not lasts for longer behind one or two months.","When asked, some people felt that constructing this kind of facility would disrupt the peace in residential areas surrounding the downtown area; this is true; however, it has to be taken into consideration that it will not be a permanent situation, since construction operations will not last for longer than one or two months."
67,624,gec,"Fix grammatical errors: Dear David, I recieve your card and I write as soon as I can first behind all congratulate your sister by my parts at the wedding first of all we went beyond the church then the party starting, most from the weddings parties were finishing in the mornings of the other day mens wear a black smocking and the womens wear large dresses The boyfriends wear a white smocking and the girlfriend puts a large white dress.","Dear David, I received your card and I'm writing as soon as I can, first of all to congratulate your sister. At the wedding, first of all we go to the church and then the party starts, most of the wedding parties finish in the morning of the next day mens wear a black dinner jacket and the women wear long dresses. The groom wears a white dinner jacket and the bride wears a long white dress."
68,819,gec,"Fix grammatical mistakes in this sentence: You develops you abilities and you can share your skill in a good way to the whole world, because obviously when you been five, eight, twelve and some people twenty years old or more, does not know for what they were good or what they are going to do with their lifes, so it were necessary to develop the people skills to known for what is they good or do not, or what do they like or did not.","You develop your abilities and you can share your skills in a good way with the whole world, because obviously when you are five, eight, and twelve, and for some people twenty years old or more, you do not know for what you are good at or what you are going to do with your life, so it is necessary to develop people's skills to know what they are good at or not, or what they like or not."
69,586,gec,"Fix grammar: I would like to drawn your attention to the fact that inspite of my several attempts to call your colleagues via mobile phone and land-line phone to check the device installed behind I moving into my new home, my request hasn't been responded until now, I am certain that by this simple and immediate step you'll be able to work out the reason of my increased costs.","I would like to draw your attention to the fact that in spite of several attempts to call your colleagues on mobile phone and land line numbers to ask them to check the device installed before I moved into my new home, my request hasn't been responded to yet, though I am certain that with this simple and immediate step you'll be able to work out the reason for my high bills."
70,168,gec,Fix grammatical mistakes in this sentence: Its not a rumor.,It's not a rumor.
71,220,gec,"Fix grammaticality: I had thrown myself on a pallets by the window, and was looking out despite the black water; Johann, the keepers, still paled from his wound, but not much hurt besides, had brought me supper.","I had thrown myself on a pallet by the window and was looking out on the black water; Johann, the keeper, still pale from his wound but not much hurt besides, had brought me supper."
72,3,gec,"Fix grammatical errors: Their research shown that before Hurricane Sandy only "" about 50 percent during resident used the emergency departments, "" and "" only about 35 percents sought inpatient cares there and less than 10 percent used the hospitals when needing surgeries with any kind. ""","Their research showed that before Hurricane Sandy, only "" about 50 percent of residents used the emergency department "" and "" only about 35 percent sought inpatient care there, and less than 10 percent used the hospital when needing surgery of any kind. """
73,507,gec,"Make the sentence grammatical: He said: ' He donen't I scaped and went to South America, someone take my ticket to returned, and I doingn't has money to buying It, I had to work there and when I had the money I return ' All across us were happy, specialy Jhon, from he had his father now.","He said: ' He didn't. I escaped and went to South America, someone took my ticket to come back, and I didn't have money to buy It, so I had to work there and when I had the money I returned '. All of us were happy, especially Jhon, because he has his father now."
